id,Company,Address,Contact ,Email,Website
,East Maitland Toyota,"104-124 Newcastle Road,
EAST MAITLAND NSW, 2323",02 4933 8383,reception@maitlandtoyota.com.au ,http://www.maitlandtoyota.com.au/
,Eden Toyota,"137-145 Imlay Street,
EDEN NSW, 2551",02 6496 1529,,http://www.edentoyota.com.au/
,Forbes Toyota,"34 Dowling Street,
FORBES NSW, 2871",02 6851 1644,guestexperience@toyota.com.au,www.forbestoyota.com.au
,Gateshead Charlestown Toyota,"Pacific Highway,
GATESHEAD NSW, 2290",02 4943 7777,,http://www.charlestowntoyota.com.au/
,Gilgandra Toyota,"18-26 Warren Road,
GILGANDRA NSW, 2827",02 6847 2106,info@gilgandratoyota.com.au ,http://gilgandratoyota.com.au/
,Glebe Sydney City Toyota,"36-38 Parramatta Road,
GLEBE NSW, 2037",02 9565 6313,,http://www.sydneycitytoyota.com.au/
,Goulburn Toyota,"126 Hume Street,
GOULBURN NSW, 2580",02 4823 0800,sales@goulburncountrymotors.com.au,http://www.goulburntoyota.com.au/
,Granville Terry Shields Toyota,"233-239 Parramatta Road,
GRANVILLE NSW, 2142",1300 793 413,,http://www.terryshieldstoyota.com.au/
,Gregory Hills Clintons Toyota,"11-23 Lasso Road,
GREGORY HILLS NSW, 2557",02 4645 5888,,http://www.clintonstoyota.com.au/
,Griffith Owen Toyota,"96 Mackay Avenue,
GRIFFITH NSW, 2680",02 6962 8888,,http://www.owentoyota.com.au/
,Guildford Western Toyota,"662 Woodville Road,
GUILDFORD NSW, 2161",02 9681 8100,,http://www.westerntoyota.com.au/
,Gunnedah Toyota,"61 - 67 Barber Street,
GUNNEDAH NSW, 2380",02 6742 3322,sales@taylorautomotive.com.au,http://www.gunnedahtoyota.com.au
,Hamilton Newcastle Toyota,"65 Tudor Street,
HAMILTON NSW, 2303",02 4969 1311,,http://www.newcastletoyota.com.au/
,Hay Lugsdin Toyota,"6 Nailor Street,
HAY NSW, 2711",02 6993 1661,polly@lugsdintoyota.com.au,http://www.lugsdintoyota.com.au/
,Hurstville Fergusons Toyota,"104 Forest Road,
HURSTVILLE NSW, 2220",02 9579 5077,,http://www.fergusonstoyota.com.au/
,Inverell New England Toyota,"179-185 Byron Street,
INVERELL NSW, 2360",02 6722 2251,,http://armidale.newenglandtoyota.com.au/
,Kempsey Toyota,"132 Belgrave Street,
KEMPSEY NSW, 2440",02 6562 6466,,http://www.kempseytoyota.com.au/
,Kingswood Penrith Toyota,"87-101 Great Western Highway,
KINGSWOOD NSW, 2747",02 8805 9500,reception@penrithtoyota.com.au.,http://www.penrithtoyota.com.au/
,Lavington Jacob Toyota,"404 Griffith Road,
LAVINGTON NSW, 2641",02 6057 1000,troy.lowe@jacobtoyota.com.au,http://www.jacobtoyota.com.au/
,Leeton Toyota,"2 Pine Avenue,
LEETON NSW, 2705",02 6953 3533,,http://www.leetontoyota.com.au/
,Lidcombe Phil Gilbert Toyota,"66-72 Parramatta Road,
LIDCOMBE NSW, 2141",02 9735 8400,,http://www.philgilberttoyota.com.au/
,Lismore Toyota,"73 Krauss Avenue,
LISMORE NSW, 2480",02 5624 7400,,http://www.lismoretoyota.com.au/
,Lithgow Lean & Bennett Toyota,"255 Main Street,
LITHGOW NSW, 2790",02 6352 2211,rbennett@pnc.com.au,http://www.leanandbennetttoyota.com.au/
,Mona Vale Bill Buckle Toyota,"4/83 Bassett Street,
MONA VALE NSW, 2103",02 9997 7300,,https://www.billbuckle.com.au/
,Moree Tait Toyota,"430 Frome Street,
MOREE NSW, 2400",02 6750 7400,,http://www.taittoyota.com.au/
,Moruya Eurobodalla Toyota,"Cnr Vulcan & Princes Highway,
MORUYA NSW, 2537",02 4474 2000,sales@eurobodallatoyota.com.au,http://www.eurobodallatoyota.com.au/
,Mosman Toyota,"501 Military Road,
MOSMAN NSW, 2088",02 9969 2555,,http://www.mosmantoyota.com.au/
,Moss Vale Southern Highland Toyota,"208 Argyle Street,
MOSS VALE NSW, 2577",02 4868 1477,,http://www.southernhighlandtoyota.com.au/
,Mudgee Toyota,"30 Burrundulla Avenue,
MUDGEE NSW, 2850",02 6372 1799,,http://www.mudgeetoyota.com.au/
,Murwillumbah Hayes Toyota,"34 Prospero Street,
MURWILLUMBAH NSW, 2484",02 6672 1666,,http://www.hayestoyota.com.au/
,Muswellbrook Toyota,"113 Maitland Road,
MUSWELLBROOK NSW, 2333",02 6543 3066,,http://www.muswellbrooktoyota.com.au/
,Narrabri Max Orman Toyota,"160 Maitland Street,
NARRABRI NSW, 2390",02 6792 2788,,http://www.maxormantoyota.com.au/
,North Gosford Brian Hilton Toyota,"600 Pacific Highway,
NORTH GOSFORD NSW, 2250",02 4328 2888,,http://www.brianhiltontoyota.com.au/
,Nyngan Toyota,"10 Mitchell Highway,
NYNGAN NSW, 2825",02 6832 1477,admin@nyngantoyota.com ,http://nyngantoyota.com.au/
,Orange Toyota,"32 Forbes Road,
ORANGE NSW, 2800",02 6362 2988,,http://www.orangetoyota.com.au/
,Parkes Toyota,"20 Bogan Street,
PARKES NSW, 2870",02 6862 9777,sales@parkestoyota.com.au,http://www.parkestoyota.com.au/
,Parramatta Terry Shields Toyota,"Cnr Church & Raymond Streets,
PARRAMATTA NSW, 2150",1300 668 214,,http://www.terryshieldstoyota.com.au/
,Pennant Hills Toyota,"330 Pennant Hills Road,
PENNANT HILLS NSW, 2120",02 9875 0222,,http://www.pennanthillstoyota.com.au/
,Port Macquarie Warren Plowright Toyota,"10 Hastings River Drive,
PORT MACQUARIE NSW, 2444",02 6583 3122,reception@warrenplowrighttoyota.com.au ,http://warrenplowrighttoyota.com.au/
,Quirindi Gowings Toyota ,"80 Pryor Street,
QUIRINDI NSW, 2343",02 6746 1066,dp@gowingstoyota.com.au,http://www.gowingstoyota.com.au/
,Revesby Noble Toyota,"27 Marigold Street,
REVESBY NSW, 2212",02 8708 4659,,http://www.nobletoyota.com.au/
,Rockdale Stewart Toyota,"591-597 Princes Highway,
ROCKDALE NSW, 2216",02 9599 4000,sutherlandnewsales@stewartautomotive.com.au,http://www.stewarttoyota.com.au/
,Scone Toyota,"230 Kelly Street,
SCONE NSW, 2337",02 6545 9118,,http://www.sconetoyota.com.au/
,Singleton Toyota,"63-65 Magpie Street,
SINGLETON NSW, 2330",02 6572 3755,,http://www.singletontoyota.com.au/
,South Grafton Toyota,"110 Bent Street,
SOUTH GRAFTON NSW, 2460",02 6644 3000,,http://www.graftontoyota.com.au/
,South Nowra Toyota,"104 Princes Highway,
SOUTH NOWRA NSW, 2541",02 4421 4777,,http://www.nowratoyota.com.au/
,Sutherland Stewart Toyota,"489-497 Princes Highway,
SUTHERLAND NSW, 2232",02 9521 7111,sutherlandnewsales@stewartautomotive.com.au,http://www.stewarttoyota.com.au/
,Tamworth City Toyota,"311-315 Marius Street,
TAMWORTH NSW, 2340",02 6766 5008,,http://www.tamworthcitytoyota.com.au/
,Taree Toyota ,"46 Victoria Street,
TAREE NSW, 2430",02 6539 3333,,http://www.tareetoyota.com.au/
,Taylors Beach Port Stephens Toyota,"70 Port Stephens Drive,
TAYLORS BEACH NSW, 2316",02 4916 3333,reception@maitlandtoyota.com.au ,http://www.maitlandtoyota.com.au/
,Tumut Toyota,"147 Wynyard Street,
TUMUT NSW, 2720",02 6947 1744,,http://www.tumuttoyota.com.au
,Tuncurry Twin Towns Toyota,"144 Manning Street,
TUNCURRY NSW, 2428",02 6539 6100,,http://www.twintownstoyota.com.au/
,Tweed Heads South Surf Toyota,"64-74 Minjungbal Drive,
TWEED HEADS SOUTH NSW, 2486",07 5569 5000,,http://www.surftoyota.com.au/
,Ulladulla Toyota,"171 Princes Highway,
ULLADULLA NSW, 2539",02 4455 3777,,http://www.ulladullatoyota.com.au/
,Wagga Wagga Thomas Bros Toyota,"67 Dobney Avenue,
WAGGA WAGGA NSW, 2650",02 6926 0555,newtoyota@thomasbros.com.au,http://www.thomasbrostoyota.com.au/
,Waitara Hornsby Toyota,"46 Pacific Highway,
WAITARA NSW, 2077",02 9488 2188,newcarenquiry@hornsbytoyota.com.au,http://www.hornsbytoyota.com.au/
,Warren Macquarie Toyota,"Cnr Dubbo & Hale Streets,
WARREN NSW, 2824",02 6847 4266,,http://www.macquarietoyota.com.au/
,Warwick Farm Peter Warren Toyota,"Cnr Hume Highway & Todman Ave.,
WARWICK FARM NSW, 2170",02 9828 8777,ebusiness@peterwarren.com.au,http://www.peterwarrentoyota.com.au/
,Waterloo Sydney City Toyota,"824 Bourke Street,
WATERLOO NSW, 2017",02 9690 9999,,http://www.sydneycitytoyota.com.au/
,Wee Waa Max Orman (Holdings),"39 BoolCarrol Road,
WEE WAA NSW, 2388",02 6795 4184,,http://www.maxormantoyota.com.au/
,Wellington Ron Stubberfield Toyota,"54 Lee Street,
WELLINGTON NSW, 2820",02 6845 2522,info@ronstubberfieldtoyota.com.au,http://www.ronstubberfieldtoyota.com.au/
,West Ryde Toyota,"1046 Victoria Road,
WEST RYDE NSW, 2114",02 9812 1777,sales@rydetoyota.com.au ,http://www.rydetoyota.com.au/
,West Wyalong Armstrong Toyota,"208-210 Main Street,
WEST WYALONG NSW, 2671",02 6972 2400,,http://www.armstrongtoyota.com.au/
,Windsor Toyota,"98 Macquarie Street,
WINDSOR NSW, 2756",02 4587 6000,,http://www.windsortoyota.com.au/
,Wollongong Illawarra Toyota,"Cnr Station & Flinders Streets,
WOLLONGONG NSW, 2500",02 4229 8333,,http://www.illawarratoyota.com.au/
,Woy Woy Brian Hilton Toyota,"1 Charlton Street,
WOY WOY NSW, 2256",02 4344 1455,guestexperience@toyota.com.au,www.brianhilton.com.au
,Wyong Brian Hilton Toyota,"170 Pacific Highway,
WYONG NSW, 2259",02 4353 1122,,http://www.brianhiltontoyota.com.au/
,Yass Luff Motors Pty Ltd,"280 Comur Street,
YASS NSW, 2582",02 6226 1122,admin@luffmotors.com.au,http://www.luffmotors.com.au/
,Young Watson Toyota,"225 Boorowa Street,
YOUNG NSW, 2594",02 6382 1266,,http://www.watsontoyota.com.au/
,Alice Springs Peter Kittle Toyota,"46 Stuart Highway,
ALICE SPRINGS NT, 0870",08 8955 4200,,http://alicesprings.peterkittletoyota.com.au/
,Darwin Bridge Toyota,"9 Stuart Highway,
DARWIN NT, 0800",08 8946 0000,,http://bridgetoyota.com.au/
,Katherine Toyota,"441 Victoria Highway,
KATHERINE NT, 850",08 8974 0000,,http://www.katherinetoyota.com.au/
,Nhulunbuy Gove Toyota,"Arnhem Road,
NHULUNBUY NT, 880",08 8987 1911,sales@govemotors.com.au,http://www.govetoyota.com.au/
,Palmerston Bridge Toyota,"72 Chung Wah Terrace,
PALMERSTON NT, 830",08 8935 1000,,http://bridgetoyota.com.au/
,Albion Sci-Fleet Toyota,"167 Sandgate Rd,
ALBION QLD, 4010",07 3862 0999,toyota@scifleet.com.au ,http://www.scifleettoyota.com.au/
,Atherton John Cole Toyota,"28 Tolga Road,
ATHERTON QLD, 4883",07 4030 5555,,http://www.johncoletoyota.com.au/
,AYR Don West Toyota,"282 Queen Street,
AYR QLD, 4807",07 4783 1600,sales@donwesttoyota.com.au,http://www.donwesttoyota.com.au/
,Beaudesert Huebner Toyota,"185 - 189 Brisbane Street,
BEAUDESERT QLD, 4285",07 5540 1000,sales@huebnertoyota.com.au,http://www.huebnertoyota.com.au/
,Biloela Linemac Toyota,"7-9 Dawson Highway,
BILOELA QLD, 4715",07 4992 1033,sales@linemac.com.au,http://www.linemactoyota.com.au/
,Booval Llewellyn Toyota,"Cnr Ross Llewellyn Dr & Brisbane Rd,
BOOVAL QLD, 4304",07 3282 2922,info@llewellynmotors.com.au,http://www.llewellyntoyota.com.au/
,Bowen Filby's Motors Bowen,"49 Powell Street,
BOWEN QLD, 4805",07 4786 9333,filbys@filbysmotors.com.au,http://www.filbysmotors.com.au/
,Brendale Torque Toyota,"55 Southpine Road,
BRENDALE QLD, 4500",07 3000 8000,enquiry@torquetoyota.com.au,http://torquetoyota.com.au/
,Bundaberg Toyota,"4 Takalvan Street,
BUNDABERG QLD, 4670",07 4150 7800,vehicles@bundabergtoyota.com.au,http://www.bundabergtoyota.com.au/
,Cairns Pacific Toyota,"235-245 Mulgrave Road,
CAIRNS QLD, 4870",07 4030 7444,,http://www.pacifictoyota.com.au/
,Caloundra Sunshine Toyota,"689 Nicklin Way,
CALOUNDRA QLD, 4551",07 5493 3900,sales@sunshinetoyota.com.au ,http://sunshinetoyota.com.au/
,Charters Towers Toyota,"Cnr York St and Millchester Rd,
CHARTERS TOWERS QLD, 4820",07 4754 5600,,http://www.charterstowerstoyota.com.au/
,Chinchilla Black Toyota,"Warrego Highway,
CHINCHILLA QLD, 4413",07 4668 9011,newcars.dalby@blacktoyota.com.au,http://www.blacktoyota.com.au/
,Cleveland Oldmac Toyota,"58 Shore Street,
CLEVELAND QLD, 4163",07 3479 9999,,http://www.oldmactoyota.com.au/
,Dalby Black Toyota,"43 Drayton Street,
DALBY QLD, 4405",07 4669 9600,newcars.dalby@blacktoyota.com.au,http://www.blacktoyota.com.au/
,Emerald Central Highlands Toyota,"31 Hospital Road,
EMERALD QLD, 4720",07 4983 9400,sales@centralhighlandstoyota.com.au,http://www.centralhighlandstoyota.com.au/
,Garbutt Mike Carney Toyota,"124-154 Duckworth St,
GARBUTT QLD, 4814",07 4759 4200,,http://www.mikecarneytoyota.com.au/
,Gatton Lockyer Valley Toyota,"91 Railway Street,
GATTON QLD, 4343",07 5462 0500,,http://www.lockyervalleytoyota.com.au/
,Gladstone Bill Robertson Toyota,"80-84 Hanson Road,
GLADSTONE QLD, 4680",07 4972 2766,mail@billrobertsontoyota.com.au,http://www.billrobertsontoyota.com.au/
,Goondiwindi Tait Toyota,"54 Russell Street,
GOONDIWINDI QLD, 4390",07 4671 7300,,http://www.taittoyota.com.au/
,Gympie John Madill Toyota,"44 Geordie Road,
GYMPIE QLD, 4570",07 5480 5555,,http://johnmadilltoyota.com.au/
,Hillcrest Motorama Toyota,"74 Anzac Avenue,
HILLCREST QLD, 4118",07 3884 8555,,http://www.motoramatoyota.com.au/
,Ingham Toyota,"8-10 Halifax Rd,
INGHAM QLD, 4850",07 4776 8500,,http://www.inghamtoyota.com.au/
,Innisfail John Cole Toyota,"25-29 Palmerston Drive,
INNISFAIL QLD, 4860",07 4043 8555,,http://www.johncoletoyota.com.au/
,Kedron Sci-Fleet Toyota,"59 Kitchener Road,
KEDRON QLD, 4031",07 3361 0077,toyota@scifleet.com.au ,http://scifleettoyota.com.au/
,Kedron Sci-Fleet Toyota,"469 Gympie Road,
KEDRON QLD, 4031",07 3361 0000,toyota@scifleet.com.au ,http://scifleettoyota.com.au/
,Kingaroy Ken Mills Toyota,"Cnr River Road & Bunya Highway,
KINGAROY QLD, 4610",07 4162 2300,nambour@kenmillstoyota.com.au,http://www.nambour.kenmillstoyota.com.au/
,Labrador Grand Motors,"11 Gateway Drive,
LABRADOR QLD, 4215",07 5583 9239,guestexperience@toyota.com.au,www.grandmotors.com.au
,Longreach Toyota,"17 Swan Street,
LONGREACH QLD, 4730",07 4658 1800,newcars@longreachtoyota.com.au,http://longreachtoyota.com.au/
,Mackay Toyota,"Cnr Nebo & Shakespeare Roads,
MACKAY QLD, 4740",07 4961 8000,,http://www.mackaytoyota.com.au/
,Mareeba Toyota,"279-283 Byrnes Street,
MAREEBA QLD, 4880",07 4092 9600,sales@mareebatoyota.com.au,http://www.mareebatoyota.com.au/
,Maroochydore Ken Mills Toyota,"82 Sugar Road,
MAROOCHYDORE QLD, 4558",07 5443 6277,maroochydore@kenmillstoyota.com.au,http://www.maroochydore.kenmillstoyota.com.au/
,Maryborough Wide Bay Toyota,"105 Lennox Street,
MARYBOROUGH QLD, 4650",07 4125 9500,,http://www.widebaytoyota.com.au/
,Moorooka Motorama Toyota,"1060 Ipswich Road,
MOOROOKA QLD, 4105",07 3000 9777,,http://www.motoramatoyota.com.au/
,Morayfield Martin Jonkers Motors,"176 Morayfield Road,
MORAYFIELD QLD, 4506",07 5495 1844,enquiry@mjm.com.au,http://www.martinjonkersmotors.com.au/
,Morningside Downtown Toyota,"753 Wynnum Road,
MORNINGSIDE QLD, 4170",07 3896 0100,,http://www.downtowntoyota.com.au/
,Mount Isa Bell & Moir Toyota,"86 - 94 Camooweal Street,
MOUNT ISA QLD, 4825",07 4743 3066,,http://www.bellandmoirtoyota.com.au/
,Mundubbera Ken Mills Toyota,"Strathdee Street,
MUNDUBBERA QLD, 4626",07 4165 3400,mundubbera@kenmillstoyota.com.au,http://www.kenmillstoyotarural.com.au/
,Nambour Ken Mills Toyota,"107 Coronation Ave,
NAMBOUR QLD, 4560",07 5441 1544,nambour@kenmillstoyota.com.au,http://www.nambour.kenmillstoyota.com.au/
,Nerang Hinterland Toyota,"15 Hinkler Drive,
NERANG QLD, 4211",07 5583 6999,,http://www.hinterlandtoyota.com.au/
,Nerang Hinterland Toyota,"11-15 Pappas Way West,
NERANG QLD, 4211",07 5583 6900,,http://www.hinterlandtoyota.com.au/
,Noosaville John Madill Toyota,"Noosa Autopark, Eumundi Road,
NOOSAVILLE QLD, 4566",07 5470 0750,,http://johnmadilltoyota.com.au/
,North Lakes Torque Toyota,"1658 Anzac Avenue,
NORTH LAKES QLD, 4509",07 3000 9000,enquiry@torquetoyota.com.au,http://torquetoyota.com.au/
,Oakey Black Toyota,"177 Bridge Street,
OAKEY QLD, 4401",07 4691 1033,newcars.dalby@blacktoyota.com.au,http://www.blacktoyota.com.au/
,Pialba Wide Bay Toyota,"82 Torquay Road,
PIALBA QLD, 4655",07 4125 9500,,http://www.widebaytoyota.com.au/
,Proserpine Filby's Motors,"62 Main Street,
PROSERPINE QLD, 4800",07 4945 9444,filbys@filbysmotors.com.au,http://www.filbysmotors.com.au/
,Robina Hinterland Toyota,"19-25 Brabham Circuit, Robina Auto Mall,
ROBINA QLD, 4226",07 5583 6999,,http://www.hinterlandtoyota.com.au/
,Rockhampton Ian Weigh Toyota,"Cnr Denham & Denison Streets,
ROCKHAMPTON QLD, 4700",07 4924 5200,email@ianweightoyota.com.au,http://ianweightoyota.com.au/
,Roma Black Toyota,"73 - 75 Charles Street,
ROMA QLD, 4455",07 4624 2400,newcars.dalby@blacktoyota.com.au,http://www.blacktoyota.com.au/
,Sippy Downs Sunshine Toyota,"30 Chancellor Boulevarde,
SIPPY DOWNS QLD, 4556",07 5430 2000,sales@sunshinetoyota.com.au ,http://sunshinetoyota.com.au/
,Smithfield Pacific Toyota,"Shop GDB1, Smithfield Shop. Ctr, Captain Cook Highway,
SMITHFIELD QLD, 4878",07 4038 2344,,http://www.pacifictoyota.com.au/
,Southport Grand Motors,"265 Ferry Road,
SOUTHPORT QLD, 4215",07 5583 6888,,http://www.grandmotorstoyota.com.au/
,Springsure Central Highlands Toyota,"72 Eclipse Street,
SPRINGSURE QLD, 4722",07 4984 1177,sales@centralhighlandstoyota.com.au,http://www.centralhighlandstoyota.com.au/
,Springwood Oldmac Toyota,"3376 Pacific Highway,
SPRINGWOOD QLD, 4127",07 3440 7777,,http://www.oldmactoyota.com.au/
,St George O'brien Toyota,"36 - 40 Victoria Street,
ST GEORGE QLD, 4487",07 4620 3300,sales@obrientoyota.com.au,http://www.obrientoyota.com.au/
,Taringa Sci-Fleet Toyota,"118 Moggill Road,
TARINGA QLD, 4068",07 3720 7000,toyota@scifleet.com.au ,http://www.scifleettoyota.com.au/
,Thargomindah Thargo Motors,"61 Dowling Street,
THARGOMINDAH QLD, 4492",07 4655 3225,,
,Toogoolawah Seymours Toyota,"25 Fulham Street,
TOOGOOLAWAH QLD, 4313",07 5423 1355,scott@seymourstoyota.com.au,http://www.seymourstoyota.com.au/
,Toowoomba Toyota,"597 Ruthven Street,
TOOWOOMBA QLD, 4350",07 4631 8300,enquiries@toowoombatoyota.com.au ,http://toowoombatoyota.com.au/
,Tully Bartrac Toyota,"89 Butler Street,
TULLY QLD, 4854",07 4068 1566,peter@bartractoyota.com.au,http://www.bartractoyota.com.au/
,Upper Mount Gravatt Southside Toyota,"1922 Logan Road,
UPPER MOUNT GRAVATT QLD, 4122",07 3422 4999,,http://southsidetoyota.com.au/
,Warwick Black Toyota,"9-11 Betta Place,
WARWICK QLD, 4370",07 4661 2799,newcars.dalby@blacktoyota.com.au,http://www.blacktoyota.com.au/
,Woolloongabba Southside Toyota,"59 Logan Road,
WOOLLOONGABBA QLD, 4102",07 3008 6477,,http://southsidetoyota.com.au/
,Woolloongabba Southside Toyota,"56 Ipswich Road,
WOOLLOONGABBA QLD, 4102",07 3008 6444,,http://southsidetoyota.com.au/
,Wynnum Downtown Toyota,"306 Tingal Road,
WYNNUM QLD, 4178",07 3396 6655,,http://www.downtowntoyota.com.au/
,Yeppoon Ian Weigh Toyota,"97 John Street,
YEPPOON QLD, 4703",07 4939 3922,email@ianweightoyota.com.au,http://ianweightoyota.com.au/
,Adelaide CMI Toyota,"152 West Terrace,
ADELAIDE SA, 5000",08 8238 5555,city@cmitoyota.com.au ,http://www.cmitoyota.com.au/
,Berri Big River Toyota,"1464 Old Sturt Highway,
BERRI SA, 5343",08 8582 2277,tom.babaniotis@bigrivertoyota.com.au,http://www.bigrivertoyota.com.au/
,Blair Athol Northpoint Toyota,"152 Grand Junction Road,
BLAIR ATHOL SA, 5084",08 8261 4877,,http://www.northpointtoyota.com.au/
,Ceduna Toyota,"46355 Eyre Highway,
CEDUNA SA, 5690",08 8625 2999,matthew@cedunamachinery.com.au,http://www.cedunatoyota.com.au/
,Cheltenham CMI Toyota,"869 Port Road,
CHELTENHAM SA, 5014",08 8268 0888,portside@cmitoyota.com.au ,http://www.cmitoyota.com.au/
,Christies Beach CMI Toyota,"150-158 Beach Road,
CHRISTIES BEACH SA, 5165",08 8382 9000,southside@cmitoyota.com.au ,http://www.cmitoyota.com.au/
,Clare Valley Toyota,"380 Main North Road,
CLARE SA, 5453",08 8842 2566,sales@clarevalleytoyota.com.au,http://www.clarevalleytoyota.com.au/
,Clovelly Park Jarvis Toyota,"1278 South Road,
CLOVELLY PARK SA, 5042",13 0013 7766,,http://www.jarvistoyota.com.au/
,Hawthorn Cornes Toyota,"46 Belair Road,
HAWTHORN SA, 5062",08 8272 1488,,http://cornestoyota.com.au/
,Hillcrest Northpoint Toyota,"485 North East Road,
HILLCREST SA, 5086",08 8261 4877,,http://www.northpointtoyota.com.au/locations/hillc
,Jamestown Kelly Toyota,"2 Boundary Road,
JAMESTOWN SA, 5491",08 8664 1253,justin@kellytoyota.com.au,http://www.kellytoyota.com.au/
,Kadina Peninsula Toyota,"2-4 Taylor Street,
KADINA SA, 5554", 08 8821 1022,buzzy@gunnings.com.au,http://www.peninsulatoyota.com.au/
,Maitland Peninsula Toyota,"54-58 Robert Street,
MAITLAND SA, 5573",08 8832 2725,,
